level,dataset,model,nll,multiclass_brier,ece,ece_bins
dataset,cho2017,free_scope,0.7804001654684873,0.5294170059561512,0.18768377625388213,15
dataset,cho2017,cardinal,0.6074566867865591,0.41598093316317125,0.11883731941821482,15
dataset,cho2017,free_cardinal,0.608264368403315,0.4165969741804973,0.12025024812076338,15
dataset,cho2017,cardinal_dynamics,0.5436612606238849,0.37118316007336044,0.08628509655250954,15
dataset,cho2017,cardinal_dynamics_compact,0.5404657120686986,0.3692467865992396,0.08333214005407615,15
dataset,cho2017,cardinal_dynamics_extended,0.5419803748413574,0.3707030600279651,0.08725413097116429,15
dataset,cho2017,cardinal_dynamics_sinc,0.5529796668103708,0.37933530624723694,0.08469559113432965,15
dataset,cho2017,cardinal_dynamics_sinc_residual,0.5471105023111401,0.3744416741341455,0.08007686338287133,15
dataset,cho2017,cardinal_dynamics_sinc_extended,0.5508571492951178,0.3773232833054293,0.08451207584028059,15
dataset,cho2017,eegnet,0.5855292313989755,0.4070491166071705,0.05971249549893233,15
dataset,cho2017,shallow,0.6481060164483231,0.42843611021618827,0.13607159207990535,15
dataset,cho2017,deep4,0.6957210173036145,0.5003150358810863,0.12030051856717237,15
dataset,cho2017,eegconformer,0.7276606303376217,0.4522398466290675,0.14399112259577482,15
dataset,cho2017,eegconformer_compact,0.733734545570232,0.4578329378397624,0.15077014733010377,15
dataset,cho2017,atcnet,0.5804010363649671,0.40248697811735307,0.07441306582704568,15
dataset,cho2017,atcnet_aggressive_pool,0.5969082836851805,0.415670996560435,0.07004552175620428,15
dataset,cho2017,fbcnet,0.6358696633987412,0.4130861723376264,0.13162651529335057,15
dataset,cho2017,cardinal_fbc,0.6339971391932757,0.4121099012209465,0.1305190427192511,15
dataset,cho2017,cardinal_fbc_extended,0.6318116667077701,0.41111198091905327,0.12880126082247648,15
dataset,cho2017,cardinal_fbc_corr,0.6174714365590046,0.4024047993265132,0.12448076574217816,15
dataset,cho2017,cardinal_fbc_corr_extended,0.6187899211446111,0.40229185997885486,0.12555249384733347,15
dataset,cho2017,cardinal_fbc_compactdyn,0.6314977454765256,0.4003338558232104,0.13214320531965065,15
dataset,cho2017,cardinal_fbc_compactdyn_extended,0.6325741282388784,0.40160130658746473,0.13159592129729497,15
dataset,cho2017,cardinal_fbc_compactdyn_scale010,0.6288065960614657,0.4075669119240095,0.1305644343052155,15
dataset,cho2017,cardinal_fbc_compactdyn_scale010_extended,0.6285507598983823,0.40713618893064296,0.12931673428989376,15
dataset,cho2017,cardinal_fbc_compactdyn_scale025,0.6052841311395525,0.39199655395483557,0.12225860309753663,15
dataset,cho2017,cardinal_fbc_compactdyn_scale025_extended,0.6031753793723741,0.3901913391925414,0.12330333029879974,15
