dataset,model,subject,seeds_averaged,test_trials_per_seed,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
bnci2014_004,eegnet,8,5,320,0.9256249999999999,5,0.9256249999999999,5,0.8512500000000001,5,0.9256222225298905,5,0.85125,5,0.98053125,5,0.18774146607555356,5,0.1109994671399778,5,0.027495552413165557,5
bnci2014_004,eegnet,9,5,320,0.7225,5,0.7225,5,0.445,5,0.6561621288829843,5,0.44499999999999995,5,0.794458984375,5,0.45764119221854377,5,0.3102205924664433,5,0.045677217803895484,5
bnci2014_004,shallow,1,5,320,0.6981249999999999,5,0.6981249999999999,5,0.39625000000000005,5,0.6820949354852479,5,0.39625000000000005,5,0.807203125,5,0.704282510533297,5,0.4313086460259442,5,0.14329426769167183,5
bnci2014_004,shallow,2,5,280,0.56,5,0.5599999999999999,5,0.11999999999999997,5,0.549248931323716,5,0.12,5,0.592234693877551,5,0.7328913176203837,5,0.5250616648759479,5,0.12669184561286653,5
bnci2014_004,shallow,3,5,320,0.518125,5,0.518125,5,0.036250000000000004,5,0.4842997861955137,5,0.036250000000000025,5,0.5365859374999999,5,0.8766783622293227,5,0.6159527402027914,5,0.21811292212456462,5
bnci2014_004,shallow,4,5,320,0.95875,5,0.95875,5,0.9175000000000001,5,0.9587371022982418,5,0.9174999999999999,5,0.9913671875000001,5,0.11749827695504114,5,0.06476937644716566,5,0.02766546983271837,5
bnci2014_004,shallow,5,5,320,0.884375,5,0.884375,5,0.76875,5,0.883336905844596,5,0.76875,5,0.9696562500000001,5,0.2808111420162236,5,0.16637396065041737,5,0.04683879550546408,5
bnci2014_004,shallow,6,5,320,0.82125,5,0.82125,5,0.6425,5,0.8196195650853749,5,0.6425,5,0.9139609375,5,0.39680092182048066,5,0.25622633617722357,5,0.048364513479173185,5
bnci2014_004,shallow,7,5,320,0.775,5,0.775,5,0.55,5,0.7723787408606204,5,0.55,5,0.87578125,5,0.5206306994694014,5,0.31835179681349385,5,0.09035130519419908,5
bnci2014_004,shallow,8,5,320,0.9143749999999999,5,0.9143749999999999,5,0.82875,5,0.9142733595751767,5,0.82875,5,0.9756328125,5,0.21311248776121056,5,0.12711294987056326,5,0.03119430221617222,5
bnci2014_004,shallow,9,5,320,0.835,5,0.835,5,0.6699999999999999,5,0.8337631430155005,5,0.6699999999999999,5,0.9311328124999999,5,0.36298720522318717,5,0.2320349986265826,5,0.0438621436432004,5
bnci2014_004,deep4,1,5,320,0.524375,5,0.524375,5,0.04874999999999998,5,0.4058798671454264,5,0.04875,5,0.6707109375,5,0.8003009329055344,5,0.5857154587823453,5,0.22159197259694338,5
bnci2014_004,deep4,2,5,280,0.5,5,0.5,5,0.0,5,0.3920876406340062,5,0.0,5,0.5282142857142856,5,0.7375157990866952,5,0.5399566552914481,5,0.12125563302210399,5
bnci2014_004,deep4,3,5,320,0.50875,5,0.50875,5,0.01749999999999996,5,0.4038458013661096,5,0.017500000000000005,5,0.541703125,5,0.7075020246117033,5,0.5135943013796135,5,0.08614991679787636,5
bnci2014_004,deep4,4,5,320,0.959375,5,0.959375,5,0.91875,5,0.9593410183574719,5,0.91875,5,0.9912734375,5,0.12222186118394551,5,0.06540435598073933,5,0.02662954058498145,5
bnci2014_004,deep4,5,5,320,0.7743749999999999,5,0.7743749999999999,5,0.5487500000000001,5,0.7619556354579983,5,0.5487500000000001,5,0.946125,5,0.4496113661657227,5,0.29462192486517735,5,0.062258059121668353,5
bnci2014_004,deep4,6,5,320,0.780625,5,0.780625,5,0.5612499999999999,5,0.7747997271541573,5,0.5612499999999999,5,0.8975625,5,0.48180111422364524,5,0.3127626377674245,5,0.10296789605170487,5
bnci2014_004,deep4,7,5,320,0.5043749999999999,5,0.5043749999999999,5,0.008750000000000036,5,0.34609128600381506,5,0.00874999999999999,5,0.5617109375,5,0.7364606057682692,5,0.5408801970023405,5,0.1512037999927998,5
bnci2014_004,deep4,8,5,320,0.91625,5,0.91625,5,0.8325000000000001,5,0.915851002705951,5,0.8325000000000001,5,0.968796875,5,0.24392079952083856,5,0.1383997202613459,5,0.050176499113440506,5
bnci2014_004,deep4,9,5,320,0.835,5,0.835,5,0.6699999999999999,5,0.8341034029040821,5,0.67,5,0.9380078125000001,5,0.3783000242783028,5,0.23366975184999933,5,0.09998859710991384,5
bnci2014_004,eegconformer,1,5,320,0.7306250000000001,5,0.7306250000000001,5,0.46125000000000005,5,0.7234691352045537,5,0.46125,5,0.819609375,5,0.6077256487884666,5,0.3913343930733403,5,0.1129017959535122,5
bnci2014_004,eegconformer,2,5,280,0.5542857142857144,5,0.5542857142857143,5,0.10857142857142857,5,0.5098447144644703,5,0.10857142857142858,5,0.6052142857142857,5,0.6938106666914774,5,0.497495493916652,5,0.08211335876158306,5
bnci2014_004,eegconformer,3,5,320,0.5050000000000001,5,0.5049999999999999,5,0.009999999999999964,5,0.37595008312893097,5,0.009999999999999986,5,0.5794277343750001,5,0.7021189599001189,5,0.5087199749149993,5,0.09463296197354791,5
bnci2014_004,eegconformer,4,5,320,0.95,5,0.95,5,0.9,5,0.9499026589849562,5,0.9,5,0.993072265625,5,0.17871191576411313,5,0.08545407743107813,5,0.036065744832158075,5
bnci2014_004,eegconformer,5,5,320,0.8631249999999999,5,0.8631249999999999,5,0.72625,5,0.8600782393572558,5,0.72625,5,0.9797578125000002,5,0.31962825059924704,5,0.19290667932578687,5,0.06336170483380554,5
bnci2014_004,eegconformer,6,5,320,0.8318750000000001,5,0.8318750000000001,5,0.66375,5,0.8292928480550599,5,0.66375,5,0.9285078125,5,0.4061681902648435,5,0.2557381863166086,5,0.05964858807623384,5
bnci2014_004,eegconformer,7,5,320,0.8025,5,0.8025,5,0.605,5,0.8007210321847262,5,0.605,5,0.8955546875,5,0.4742730240312369,5,0.2914795348111923,5,0.08566425759345295,5
bnci2014_004,eegconformer,8,5,320,0.92875,5,0.92875,5,0.8575000000000002,5,0.9286839278567435,5,0.8574999999999999,5,0.9779375,5,0.19763700453359806,5,0.10816431960508824,5,0.03189522389322516,5
bnci2014_004,eegconformer,9,5,320,0.871875,5,0.871875,5,0.74375,5,0.8713453868923038,5,0.74375,5,0.9539375,5,0.3471602619288251,5,0.20171075434619912,5,0.0647846196591854,5
bnci2014_004,eegconformer_compact,1,5,320,0.6900000000000001,5,0.6900000000000001,5,0.38000000000000006,5,0.665919620871501,5,0.38,5,0.8236953124999999,5,0.8178131030879306,5,0.4900821991484374,5,0.21310218095779426,5
bnci2014_004,eegconformer_compact,2,5,280,0.5585714285714286,5,0.5585714285714286,5,0.11714285714285717,5,0.5296972225439693,5,0.11714285714285713,5,0.5865408163265307,5,0.6899645510317052,5,0.4963343086025468,5,0.06295660810811177,5
bnci2014_004,eegconformer_compact,3,5,320,0.514375,5,0.514375,5,0.028750000000000008,5,0.3723779720618124,5,0.028750000000000008,5,0.5545,5,0.7185970924133986,5,0.5224840647272778,5,0.08555200368165972,5
bnci2014_004,eegconformer_compact,4,5,320,0.9574999999999999,5,0.9574999999999999,5,0.915,5,0.9574727111517525,5,0.915,5,0.9933203125000001,5,0.14031712956133494,5,0.07319532632918935,5,0.02692048635333775,5
bnci2014_004,eegconformer_compact,5,5,320,0.8862500000000001,5,0.8862500000000001,5,0.7725,5,0.8847001616486798,5,0.7725,5,0.9785937500000002,5,0.2723384517687841,5,0.16260528740691854,5,0.04585673358291389,5
bnci2014_004,eegconformer_compact,6,5,320,0.820625,5,0.820625,5,0.6412500000000001,5,0.8170962300290817,5,0.6412500000000001,5,0.928875,5,0.4378635587053047,5,0.2683350445728177,5,0.08031607281416656,5
bnci2014_004,eegconformer_compact,7,5,320,0.7787499999999999,5,0.7787499999999999,5,0.5574999999999999,5,0.7740806765037485,5,0.5575,5,0.8915703124999999,5,0.5567938347226399,5,0.3403827103560329,5,0.1158232097327709,5
bnci2014_004,eegconformer_compact,8,5,320,0.931875,5,0.9318750000000001,5,0.8637500000000001,5,0.9318307518259659,5,0.8637500000000001,5,0.9770078125000001,5,0.1926444618963507,5,0.10673154792192963,5,0.026468607150018204,5
bnci2014_004,eegconformer_compact,9,5,320,0.8556250000000001,5,0.8556250000000001,5,0.71125,5,0.8541083940177213,5,0.71125,5,0.9515781249999999,5,0.34319330734450804,5,0.2120203227655078,5,0.05416649997234345,5
bnci2014_004,atcnet,1,5,320,0.656875,5,0.656875,5,0.31375000000000003,5,0.6141612772750504,5,0.31375000000000003,5,0.8330703125,5,0.6807451561202902,5,0.46282505618764735,5,0.1696183656156063,5
bnci2014_004,atcnet,2,5,280,0.5428571428571429,5,0.5428571428571429,5,0.08571428571428572,5,0.5151482503335743,5,0.08571428571428572,5,0.5651326530612246,5,0.6893349849561348,5,0.4962121220982317,5,0.0369904113667352,5
bnci2014_004,atcnet,3,5,320,0.506875,5,0.506875,5,0.013750000000000017,5,0.41548223941497336,5,0.013749999999999995,5,0.5144921875,5,0.6969510890409275,5,0.5037718379930427,5,0.04386567227542399,5
