model,comparator,seed,dataset,subjects,balanced_accuracy_difference
cardinal_dynamics_extended,tcformer,7,EQUAL_DATASET_OVERALL,132,0.011908204919074484
cardinal_dynamics_extended,tcformer,17,local_exp4,8,-0.024999999999999967
cardinal_dynamics_extended,tcformer,17,bnci2014_001,9,-0.04320987654320992
cardinal_dynamics_extended,tcformer,17,bnci2014_004,9,0.00416666666666664
cardinal_dynamics_extended,tcformer,17,cho2017,52,0.006618589743589747
cardinal_dynamics_extended,tcformer,17,physionet_mi,54,0.027411145617667356
cardinal_dynamics_extended,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.006002694903057231
cardinal_dynamics_extended,tcformer,27,local_exp4,8,-0.03125000000000003
cardinal_dynamics_extended,tcformer,27,bnci2014_001,9,-0.012345679012345685
cardinal_dynamics_extended,tcformer,27,bnci2014_004,9,0.0020833333333333446
cardinal_dynamics_extended,tcformer,27,cho2017,52,0.006330128205128212
cardinal_dynamics_extended,tcformer,27,physionet_mi,54,0.007587956863319193
cardinal_dynamics_extended,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.005518852122112993
cardinal_dynamics_extended,tcformer,37,local_exp4,8,0.02291666666666667
cardinal_dynamics_extended,tcformer,37,bnci2014_001,9,-0.019290123456790105
cardinal_dynamics_extended,tcformer,37,bnci2014_004,9,0.0004960317460317195
cardinal_dynamics_extended,tcformer,37,cho2017,52,0.01081730769230769
cardinal_dynamics_extended,tcformer,37,physionet_mi,54,0.02462752960941366
cardinal_dynamics_extended,tcformer,37,EQUAL_DATASET_OVERALL,132,0.007913482451525927
cardinal_dynamics_extended,tcformer,47,local_exp4,8,0.025000000000000036
cardinal_dynamics_extended,tcformer,47,bnci2014_001,9,-0.036265432098765454
cardinal_dynamics_extended,tcformer,47,bnci2014_004,9,-0.005307539682539676
cardinal_dynamics_extended,tcformer,47,cho2017,52,0.006538461538461538
cardinal_dynamics_extended,tcformer,47,physionet_mi,54,0.04729946985381767
cardinal_dynamics_extended,tcformer,47,EQUAL_DATASET_OVERALL,132,0.007452991922194824
cardinal_dynamics_sinc,tcformer,7,local_exp4,8,-0.04166666666666667
cardinal_dynamics_sinc,tcformer,7,bnci2014_001,9,0.03086419753086421
cardinal_dynamics_sinc,tcformer,7,bnci2014_004,9,0.013740079365079396
cardinal_dynamics_sinc,tcformer,7,cho2017,52,-0.0007371794871794882
cardinal_dynamics_sinc,tcformer,7,physionet_mi,54,0.01488029884769014
cardinal_dynamics_sinc,tcformer,7,EQUAL_DATASET_OVERALL,132,0.003416145917957517
cardinal_dynamics_sinc,tcformer,17,local_exp4,8,-0.09791666666666667
cardinal_dynamics_sinc,tcformer,17,bnci2014_001,9,-0.02044753086419754
cardinal_dynamics_sinc,tcformer,17,bnci2014_004,9,0.002083333333333314
cardinal_dynamics_sinc,tcformer,17,cho2017,52,-0.015384615384615387
cardinal_dynamics_sinc,tcformer,17,physionet_mi,54,0.012503834061805065
cardinal_dynamics_sinc,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.023832329104068243
cardinal_dynamics_sinc,tcformer,27,local_exp4,8,-0.04166666666666666
cardinal_dynamics_sinc,tcformer,27,bnci2014_001,9,-0.02469135802469135
cardinal_dynamics_sinc,tcformer,27,bnci2014_004,9,0.005853174603174607
cardinal_dynamics_sinc,tcformer,27,cho2017,52,-0.0018910256410256464
cardinal_dynamics_sinc,tcformer,27,physionet_mi,54,0.0007809722483635562
cardinal_dynamics_sinc,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.012322980696169099
cardinal_dynamics_sinc,tcformer,37,local_exp4,8,-0.00833333333333336
cardinal_dynamics_sinc,tcformer,37,bnci2014_001,9,-0.042438271604938266
cardinal_dynamics_sinc,tcformer,37,bnci2014_004,9,0.0018353174603174414
cardinal_dynamics_sinc,tcformer,37,cho2017,52,-0.007580128205128211
cardinal_dynamics_sinc,tcformer,37,physionet_mi,54,0.011481925884099794
cardinal_dynamics_sinc,tcformer,37,EQUAL_DATASET_OVERALL,132,-0.00900689795979652
cardinal_dynamics_sinc,tcformer,47,local_exp4,8,-0.010416666666666644
cardinal_dynamics_sinc,tcformer,47,bnci2014_001,9,-0.04128086419753087
cardinal_dynamics_sinc,tcformer,47,bnci2014_004,9,0.016418650793650798
cardinal_dynamics_sinc,tcformer,47,cho2017,52,-0.004006410256410253
cardinal_dynamics_sinc,tcformer,47,physionet_mi,54,0.023037265337989977
cardinal_dynamics_sinc,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.003249604997793397
cardinal_dynamics_sinc_residual,tcformer,7,local_exp4,8,-0.04583333333333335
cardinal_dynamics_sinc_residual,tcformer,7,bnci2014_001,9,0.015046296296296323
cardinal_dynamics_sinc_residual,tcformer,7,bnci2014_004,9,0.012748015873015895
cardinal_dynamics_sinc_residual,tcformer,7,cho2017,52,0.006570512820512812
cardinal_dynamics_sinc_residual,tcformer,7,physionet_mi,54,0.030845462910680303
cardinal_dynamics_sinc_residual,tcformer,7,EQUAL_DATASET_OVERALL,132,0.003875390913434396
cardinal_dynamics_sinc_residual,tcformer,17,local_exp4,8,-0.06041666666666666
cardinal_dynamics_sinc_residual,tcformer,17,bnci2014_001,9,-0.03395061728395061
cardinal_dynamics_sinc_residual,tcformer,17,bnci2014_004,9,-0.0026785714285714438
cardinal_dynamics_sinc_residual,tcformer,17,cho2017,52,-0.0019230769230769334
cardinal_dynamics_sinc_residual,tcformer,17,physionet_mi,54,0.019645645551442655
cardinal_dynamics_sinc_residual,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.0158646573501646
cardinal_dynamics_sinc_residual,tcformer,27,local_exp4,8,-0.043750000000000025
cardinal_dynamics_sinc_residual,tcformer,27,bnci2014_001,9,-0.021990740740740717
cardinal_dynamics_sinc_residual,tcformer,27,bnci2014_004,9,0.008085317460317456
cardinal_dynamics_sinc_residual,tcformer,27,cho2017,52,-0.0016025641025641107
cardinal_dynamics_sinc_residual,tcformer,27,physionet_mi,54,0.019727555053642012
cardinal_dynamics_sinc_residual,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.007906086465869076
cardinal_dynamics_sinc_residual,tcformer,37,local_exp4,8,-0.022916666666666655
