level,dataset,model,prediction_count_including_seeds,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
dataset,bnci2014_004,free_cardinal,14200,0.7635211267605634,0.7635211267605634,0.5270422535211268,0.7629450658712404,0.5270422535211268,0.8555693116445149,0.5061248289314781,0.32849586685890503,0.08259275260525686
dataset,bnci2014_004,cardinal_dynamics,14200,0.7852112676056338,0.7852112676056338,0.5704225352112675,0.7846389823352051,0.5704225352112676,0.8864329448522118,0.4217263609006888,0.27502251410936157,0.02149230776538314
dataset,bnci2014_004,cardinal_dynamics_compact,14200,0.7911971830985915,0.7911971830985915,0.5823943661971831,0.7909533177651821,0.5823943661971831,0.8895816653441777,0.41523168081382195,0.2699771352675,0.017379981971962347
dataset,bnci2014_004,cardinal_dynamics_extended,14200,0.7845070422535211,0.7845070422535212,0.5690140845070424,0.7842109519407814,0.5690140845070423,0.8865957895258877,0.42439158437996655,0.27430918861864706,0.021250000692589165
dataset,bnci2014_004,cardinal_dynamics_sinc,14200,0.7912676056338028,0.7912676056338028,0.5825352112676057,0.7910084909876359,0.5825352112676057,0.8952931214044832,0.4017044279569523,0.2628820036278367,0.018108353984187992
dataset,bnci2014_004,cardinal_dynamics_sinc_residual,14200,0.7927464788732395,0.7927464788732395,0.5854929577464789,0.7924840222067213,0.5854929577464789,0.8958168468557826,0.40123584903283566,0.2625289266637205,0.01584057961970987
dataset,bnci2014_004,cardinal_dynamics_sinc_extended,14200,0.7933802816901409,0.7933802816901409,0.5867605633802817,0.7930876696465271,0.5867605633802817,0.8952348541955961,0.4016440908376157,0.2633884496327596,0.018304661655090256
dataset,bnci2014_004,eegnet,14200,0.7311971830985915,0.7311971830985915,0.462394366197183,0.7310075797277282,0.4623943661971831,0.8490280847054157,0.45212589568985456,0.30328317865824916,0.012125456832664088
dataset,bnci2014_004,shallow,14200,0.7769014084507042,0.7769014084507042,0.5538028169014084,0.7765311576834135,0.5538028169014084,0.8726770382860543,0.46355847987898596,0.30102081820626886,0.05544374461744875
dataset,bnci2014_004,deep4,14200,0.703169014084507,0.703169014084507,0.4063380281690141,0.6988166897068318,0.4063380281690141,0.8149908797857568,0.5144163439840924,0.35577582211481723,0.04652632886675045
dataset,bnci2014_004,eegconformer,14200,0.7852112676056338,0.7852112676056338,0.5704225352112675,0.7852106540435267,0.5704225352112676,0.8865276730807381,0.43273324948343567,0.2784018565635339,0.04989179795896504
dataset,bnci2014_004,eegconformer_compact,14200,0.7801408450704226,0.7801408450704226,0.5602816901408452,0.7794582418604697,0.5602816901408451,0.8805464441579052,0.46008787849611205,0.2940990448738411,0.06487162364200805
dataset,bnci2014_004,atcnet,14200,0.7848591549295775,0.7848591549295775,0.569718309859155,0.7842937561726651,0.569718309859155,0.8927519936520532,0.40586717094994257,0.26791632948923505,0.03203225381357568
dataset,bnci2014_004,atcnet_aggressive_pool,14200,0.7834507042253521,0.783450704225352,0.566901408450704,0.7830900758784346,0.5669014084507042,0.8918167625471136,0.41860213007159075,0.26889822929797064,0.03920227797098563
dataset,bnci2014_004,fbcnet,14200,0.7713380281690141,0.7713380281690141,0.5426760563380282,0.7709276872225375,0.5426760563380282,0.8694139158897044,0.46111457184036686,0.3031188809704479,0.047997067234885504
dataset,bnci2014_004,cardinal_fbc,14200,0.7750704225352113,0.7750704225352112,0.5501408450704224,0.7746708062835261,0.5501408450704226,0.8786510315413609,0.4352492758454697,0.29044908822827126,0.0395406236447079
dataset,bnci2014_004,cardinal_fbc_extended,14200,0.7702112676056339,0.7702112676056339,0.5404225352112677,0.7695939739365696,0.5404225352112676,0.8710925758778021,0.4589421108477061,0.3044379463410826,0.04864357180578611
dataset,bnci2014_004,cardinal_fbc_corr,14200,0.7674647887323943,0.7674647887323944,0.5349295774647889,0.7674640091532939,0.5349295774647888,0.8555416038484427,0.4950408611514837,0.32176175734688794,0.06718486359841389
dataset,bnci2014_004,cardinal_fbc_corr_extended,14200,0.7624647887323943,0.7624647887323943,0.5249295774647886,0.7620719443084043,0.5249295774647887,0.858442650267804,0.48264413832697717,0.318154425697119,0.060827526017813605
dataset,bnci2014_004,cardinal_fbc_compactdyn,14200,0.7854225352112676,0.7854225352112676,0.5708450704225352,0.7847781408559852,0.5708450704225352,0.8689050585201349,0.482709603088869,0.30172403690557154,0.05446693778457776
dataset,bnci2014_004,cardinal_fbc_compactdyn_extended,14200,0.7795070422535211,0.7795070422535211,0.5590140845070422,0.7791817668334344,0.5590140845070423,0.8615870660583218,0.5020947933340618,0.3146785818815677,0.06696251661005154
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale010,14200,0.7704929577464789,0.7704929577464789,0.5409859154929577,0.7700474846195176,0.5409859154929577,0.8724667327911129,0.44930973301864113,0.29983715868220523,0.04605159094635873
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale010_extended,14200,0.7767605633802817,0.7767605633802817,0.5535211267605633,0.7763639498806443,0.5535211267605633,0.8785638018250348,0.4361165125232307,0.28977746139240695,0.03412638979478621
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale025,14200,0.7745070422535211,0.7745070422535212,0.5490140845070424,0.773879610879814,0.5490140845070423,0.8641128595516763,0.4785346019149331,0.31048770165315237,0.05935660879796657
dataset,bnci2014_004,cardinal_fbc_compactdyn_scale025_extended,14200,0.7828169014084507,0.7828169014084507,0.5656338028169015,0.7827945647098484,0.5656338028169015,0.8744696141638564,0.44584430605586417,0.29462638365616123,0.040433944169904174
dataset,bnci2014_004,cardinal_fbc_micro,14200,0.7795070422535211,0.7795070422535211,0.5590140845070422,0.7791982866897109,0.5590140845070423,0.8685426651458044,0.4699637124959399,0.3003215652138767,0.04574011458057753
dataset,bnci2014_004,cardinal_fbc_micro_extended,14200,0.765281690140845,0.765281690140845,0.53056338028169,0.7644236320777418,0.5305633802816901,0.8606543939694504,0.4957732616865366,0.3205079008901554,0.0695709052220197
dataset,bnci2014_004,cardinal_fbc_physical,14200,0.778661971830986,0.778661971830986,0.5573239436619719,0.7784923048898926,0.5573239436619719,0.8675969946439199,0.4746838855294707,0.302901685111068,0.05320358460218133
dataset,bnci2014_004,cardinal_fbc_physical_extended,14200,0.7797183098591549,0.7797183098591549,0.5594366197183098,0.7796455679804952,0.5594366197183098,0.8666551031541361,0.4785134807087181,0.3079647016245463,0.0640078478212088
dataset,bnci2014_004,eegtcnet,14200,0.7343661971830986,0.7343661971830986,0.4687323943661972,0.7343411068837508,0.4687323943661972,0.8474313677841698,0.4587987746246259,0.3110676500714685,0.021675498389022444
dataset,bnci2014_004,fbmsnet,14200,0.7780985915492957,0.7780985915492957,0.5561971830985915,0.7772873881419036,0.5561971830985916,0.868920100178536,0.4842037906484383,0.2966152687518035,0.04543045381005381
dataset,bnci2014_004,cardinal_fbms,14200,0.7765492957746479,0.7765492957746478,0.5530985915492956,0.7759555613455473,0.5530985915492957,0.8679435627851617,0.48484052051969423,0.29728635905424017,0.04612876957990754
dataset,bnci2014_004,cardinal_fbms_extended,14200,0.7794366197183099,0.7794366197183098,0.5588732394366196,0.7785978785612171,0.5588732394366197,0.8719775193414006,0.4791656479917104,0.2930155339804441,0.043540856032304356
dataset,bnci2014_004,cardinal_mix,14200,0.7801408450704226,0.7801408450704226,0.5602816901408452,0.7796619627912194,0.5602816901408451,0.8651765721087086,0.4868276445269059,0.307989880256591,0.05953585028228624
dataset,bnci2014_004,cardinal_mix_drop,14200,0.7804225352112676,0.7804225352112676,0.5608450704225352,0.7800902232264332,0.5608450704225352,0.8730229517952788,0.4658015489368643,0.30309516147033333,0.06265927059129929
dataset,bnci2014_004,ctnet,14200,0.7897183098591549,0.7897183098591549,0.5794366197183098,0.7885973895587735,0.5794366197183098,0.8946888216623686,0.4093126270765063,0.2673217749109143,0.025053047147435222
dataset,bnci2014_004,ctnet_compact,14200,0.7811971830985915,0.7811971830985915,0.5623943661971831,0.780933128426557,0.5623943661971831,0.8889662170204325,0.41272614742339825,0.2716643011800559,0.02343168857231944
dataset,bnci2014_004,eegsym,14200,0.6323239436619719,0.6323239436619719,0.26464788732394373,0.6323081721552319,0.2646478873239436,0.7200549494147986,0.5747878326730661,0.40526510033444946,0.017623001223718595
dataset,bnci2014_004,eegsym_wide,14200,0.7866901408450704,0.7866901408450704,0.5733802816901408,0.7866696996888896,0.5733802816901408,0.8970876314223367,0.3932141064369715,0.2584259439807015,0.015767869848600537
dataset,bnci2014_004,tcformer,14200,0.7838732394366197,0.7838732394366197,0.5677464788732394,0.7831936767682974,0.5677464788732394,0.8923445744891887,0.4117265003472682,0.2680117439161378,0.033735288604044594
dataset,cho2017,scope,52600,0.5688783269961977,0.5688783269961977,0.13775665399239534,0.5677837723146039,0.13775665399239545,0.6065820598823173,0.848088837273879,0.574140021080894,0.1965267385808687
dataset,cho2017,free_scope,52600,0.5972813688212928,0.5972813688212928,0.19456273764258558,0.5955322733725031,0.19456273764258558,0.6523898773294395,0.7808320534305168,0.5298991612760929,0.17088455634765295
dataset,cho2017,cardinal,52600,0.678403041825095,0.678403041825095,0.35680608365019006,0.6783046296167747,0.35680608365019006,0.7506501662594516,0.6075122721262474,0.41603402080118423,0.07135133413987473
