dataset,model,subject,seed,folds_concatenated,test_trials,accuracy,balanced_accuracy,chance_normalized_balanced_accuracy,macro_f1,cohen_kappa,ovr_macro_auroc,nll,multiclass_brier,ece
local_exp4,cardinal,6,7,1,60,1.0,1.0,1.0,1.0,1.0,1.0,0.08157784918931359,0.030266312539730594,0.0719818313916524
local_exp4,cardinal,6,17,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,1.0,0.06425680714257456,0.02296934788023783,0.0563130011161168
local_exp4,cardinal,6,27,1,60,1.0,1.0,1.0,1.0,1.0,1.0,0.07864942251763049,0.03181242480490119,0.06810783743858337
local_exp4,cardinal,6,37,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,1.0,0.11264004448155347,0.05256602035041805,0.09487227102120716
local_exp4,cardinal,6,47,1,60,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666295884315907,0.9333333333333333,1.0,0.12125431715624667,0.06520755098855165,0.05712902645270031
local_exp4,cardinal,7,7,1,60,0.7,0.7,0.3999999999999999,0.6986607142857143,0.4,0.78,0.5785904960052858,0.3960885147194063,0.09894237220287323
local_exp4,cardinal,7,17,1,60,0.65,0.6499999999999999,0.2999999999999998,0.6491228070175439,0.30000000000000004,0.7011111111111111,0.7063088543823618,0.4755993592876431,0.156152198712031
local_exp4,cardinal,7,27,1,60,0.7,0.7,0.3999999999999999,0.6945701357466063,0.4,0.7577777777777779,0.6420725068269401,0.42633344163196846,0.17100990315278372
local_exp4,cardinal,7,37,1,60,0.6833333333333333,0.6833333333333333,0.3666666666666667,0.6832453459294248,0.3666666666666667,0.6522222222222223,0.7661512546607068,0.5166014927162276,0.22687001327673592
local_exp4,cardinal,7,47,1,60,0.6833333333333333,0.6833333333333333,0.3666666666666667,0.6832453459294248,0.3666666666666667,0.7322222222222222,0.6535541572557853,0.4428960648626682,0.13435525198777518
local_exp4,cardinal,8,7,1,60,0.5,0.5,0.0,0.36079545454545453,0.0,0.6044444444444446,0.8766328375279353,0.6336464434664814,0.2792694667975108
local_exp4,cardinal,8,17,1,60,0.6,0.6,0.19999999999999996,0.5927601809954751,0.19999999999999996,0.7166666666666667,0.6277324345006505,0.4402253549624887,0.1857211182514826
local_exp4,cardinal,8,27,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.883300916921367,0.7666666666666666,0.9488888888888889,0.31393957955398155,0.19204225636706576,0.17578073441982267
local_exp4,cardinal,8,37,1,60,0.8166666666666667,0.8166666666666667,0.6333333333333333,0.8162071846282373,0.6333333333333333,0.9233333333333333,0.3623486731788932,0.23382999350042794,0.04661978284517923
local_exp4,cardinal,8,47,1,60,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8331479421579533,0.6666666666666667,0.9322222222222223,0.34629537256546616,0.22322670177710868,0.10491498609383901
local_exp4,cardinal,10,7,1,60,0.9,0.9,0.8,0.8995535714285714,0.8,0.9911111111111112,0.26422101192206554,0.14943042418204389,0.1084097862243652
local_exp4,cardinal,10,17,1,60,0.9,0.9,0.8,0.898989898989899,0.8,0.9722222222222223,0.27618404657799567,0.16516944425648122,0.09165111084779101
local_exp4,cardinal,10,27,1,60,0.9166666666666666,0.9166666666666667,0.8333333333333335,0.9164578111946533,0.8333333333333334,0.9877777777777779,0.23302332572052067,0.12299720183362596,0.11385430296262106
local_exp4,cardinal,10,37,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9766666666666666,0.2581378754737674,0.14938125759762305,0.13812988897164666
local_exp4,cardinal,10,47,1,60,0.8166666666666667,0.8166666666666667,0.6333333333333333,0.8102903133084219,0.6333333333333333,0.971111111111111,0.3562752626768208,0.23747688809269546,0.13315540750821434
local_exp4,free_cardinal,1,7,1,60,0.7666666666666667,0.7666666666666666,0.5333333333333332,0.76,0.5333333333333333,0.9011111111111112,0.46126629843827577,0.3040263213007078,0.07835934857527414
local_exp4,free_cardinal,1,17,1,60,0.7833333333333333,0.7833333333333333,0.5666666666666667,0.7783461210571185,0.5666666666666667,0.8333333333333333,0.524286717958672,0.3472373710718933,0.11913056274255118
local_exp4,free_cardinal,1,27,1,60,0.8333333333333334,0.8333333333333334,0.6666666666666667,0.8331479421579533,0.6666666666666667,0.8911111111111112,0.42773702314103834,0.27344214742152323,0.12780829071998595
local_exp4,free_cardinal,1,37,1,60,0.7666666666666667,0.7666666666666666,0.5333333333333332,0.7664071190211346,0.5333333333333333,0.8788888888888888,0.4407860580117007,0.287099946840787,0.08932935794194538
local_exp4,free_cardinal,1,47,1,60,0.75,0.75,0.5,0.7442455242966752,0.5,0.8533333333333333,0.4990836852891781,0.3386843300983172,0.09592207868893944
local_exp4,free_cardinal,3,7,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8666666666666667,0.7333333333333334,0.9666666666666666,0.22610728941432648,0.13537079498944166,0.09653202295303348
local_exp4,free_cardinal,3,17,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.8830409356725146,0.7666666666666666,0.9655555555555555,0.26631349963494805,0.17064390866989174,0.05539154012997943
local_exp4,free_cardinal,3,27,1,60,0.8666666666666667,0.8666666666666667,0.7333333333333334,0.8653198653198653,0.7333333333333334,0.9788888888888889,0.24976453691881945,0.15826102732687966,0.06367884178956351
local_exp4,free_cardinal,3,37,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9922222222222222,0.2061859121391273,0.11014224166877533,0.11815599997838337
local_exp4,free_cardinal,3,47,1,60,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9330357142857143,0.8666666666666667,0.9888888888888889,0.2130868751579273,0.1163577021161775,0.11245659887790682
local_exp4,free_cardinal,4,7,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.8830409356725146,0.7666666666666666,0.9466666666666667,0.31985299514431786,0.19572070467827596,0.07876038551330569
local_exp4,free_cardinal,4,17,1,60,0.9,0.9,0.8,0.9,0.8,0.9666666666666666,0.27406199803335457,0.16417861604504616,0.10026644170284271
local_exp4,free_cardinal,4,27,1,60,0.8833333333333333,0.8833333333333333,0.7666666666666666,0.883300916921367,0.7666666666666666,0.9777777777777779,0.24646344238972662,0.14807660750975635,0.09260411063830058
local_exp4,free_cardinal,4,37,1,60,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9332591768631813,0.8666666666666667,0.9777777777777779,0.2506946187005964,0.1437134045841097,0.10299785832564036
local_exp4,free_cardinal,4,47,1,60,0.9,0.9,0.8,0.899888765294772,0.8,0.9722222222222223,0.2286677268570335,0.13728681794211636,0.08943505585193633
local_exp4,free_cardinal,5,7,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,1.0,0.07580277102461469,0.0319939594123387,0.06446645855903625
local_exp4,free_cardinal,5,17,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,1.0,0.08579118755524938,0.03389836697970317,0.058644912640253725
local_exp4,free_cardinal,5,27,1,60,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666295884315907,0.9333333333333333,1.0,0.1274452380055964,0.06024537585242194,0.09301020801067351
local_exp4,free_cardinal,5,37,1,60,1.0,1.0,1.0,1.0,1.0,1.0,0.06791257638641983,0.020916226886256946,0.0615396996339162
local_exp4,free_cardinal,5,47,1,60,1.0,1.0,1.0,1.0,1.0,1.0,0.06684957782022541,0.018627614719632885,0.06140168011188508
local_exp4,free_cardinal,6,7,1,60,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9977777777777778,0.09651326088119631,0.043752084363830095,0.06498818596204123
local_exp4,free_cardinal,6,17,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,0.9988888888888889,0.10452131272856903,0.050921294942713836,0.05784280796845753
local_exp4,free_cardinal,6,27,1,60,0.95,0.95,0.8999999999999999,0.9499861072520144,0.9,0.9966666666666667,0.11297103063483334,0.05932196324526285,0.07582810620466868
local_exp4,free_cardinal,6,37,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,0.9977777777777778,0.0768700507071717,0.03329681020040998,0.043747423092524204
local_exp4,free_cardinal,6,47,1,60,0.9833333333333333,0.9833333333333334,0.9666666666666668,0.9833287024173382,0.9666666666666667,0.9988888888888889,0.08534853086003685,0.04015313569479147,0.06635840733846032
local_exp4,free_cardinal,7,7,1,60,0.6833333333333333,0.6833333333333333,0.3666666666666667,0.6825396825396826,0.3666666666666667,0.8033333333333333,0.5555135885149206,0.3752966698796757,0.14121948778629304
