dataset,model,subjects_averaged,aggregation,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
bnci2014_004,eegconformer,9,mean_seeds_within_subject_then_mean_subjects,0.7820039682539683,9,0.7820039682539683,9,0.5640079365079366,9,0.7610320029032223,9,0.5640079365079366,9,0.859224330357143,9,0.43635932472243627,9,0.2814448237489939,9,0.07011869506407824,9
bnci2014_004,eegconformer_compact,9,mean_seeds_within_subject_then_mean_subjects,0.777063492063492,9,0.777063492063492,9,0.554126984126984,9,0.7541426378504704,9,0.554126984126984,9,0.8539646045918368,9,0.46328061005910626,9,0.29690786798118424,9,0.07901804470590183,9
bnci2014_004,atcnet,9,mean_seeds_within_subject_then_mean_subjects,0.7814980158730159,9,0.7814980158730159,9,0.5629960317460317,9,0.7630374360593613,9,0.5629960317460317,9,0.8524018920068027,9,0.4098042239222507,9,0.2710871043865823,9,0.05894218471847357,9
bnci2014_004,atcnet_aggressive_pool,9,mean_seeds_within_subject_then_mean_subjects,0.7796329365079365,9,0.7796329365079365,9,0.559265873015873,9,0.7652853073759509,9,0.559265873015873,9,0.8474972363945579,9,0.4224691662297048,9,0.2721610172818941,9,0.06306963648587939,9
bnci2014_004,fbcnet,9,mean_seeds_within_subject_then_mean_subjects,0.7681646825396826,9,0.7681646825396826,9,0.536329365079365,9,0.7496115741446255,9,0.536329365079365,9,0.8597619579081633,9,0.4675906615838045,9,0.3073731742240729,9,0.08581552232896525,9
bnci2014_004,cardinal_fbc,9,mean_seeds_within_subject_then_mean_subjects,0.7718353174603174,9,0.7718353174603174,9,0.5436706349206349,9,0.7548632963505447,9,0.5436706349206349,9,0.8597182451105442,9,0.4395485657379632,9,0.2938919721309404,9,0.07784769133502055,9
bnci2014_004,cardinal_fbc_extended,9,mean_seeds_within_subject_then_mean_subjects,0.7670436507936508,9,0.7670436507936508,9,0.5340873015873017,9,0.7463573892414437,9,0.5340873015873017,9,0.8598097541099774,9,0.46292145248457195,9,0.30769679678118467,9,0.08769687114194745,9
bnci2014_004,cardinal_fbc_corr,9,mean_seeds_within_subject_then_mean_subjects,0.7644246031746031,9,0.7644246031746031,9,0.5288492063492064,9,0.7384266937541565,9,0.5288492063492064,9,0.8572985933956915,9,0.5013143852422204,9,0.32589343032479146,9,0.10502536056533693,9
bnci2014_004,cardinal_fbc_corr_extended,9,mean_seeds_within_subject_then_mean_subjects,0.7594146825396826,9,0.7594146825396826,9,0.5188293650793652,9,0.7393333552405843,9,0.5188293650793652,9,0.8566298363095238,9,0.48911251531140487,9,0.322304522848668,9,0.09729652074594347,9
bnci2014_004,cardinal_fbc_compactdyn,9,mean_seeds_within_subject_then_mean_subjects,0.7818749999999999,9,0.7818749999999999,9,0.5637500000000001,9,0.7574727822903996,9,0.5637500000000001,9,0.8612693275226758,9,0.4898062534448655,9,0.30626107837034744,9,0.09795095891588262,9
bnci2014_004,cardinal_fbc_compactdyn_extended,9,mean_seeds_within_subject_then_mean_subjects,0.7761210317460319,9,0.7761210317460319,9,0.5522420634920634,9,0.7486448825926773,9,0.5522420634920634,9,0.861523937960601,9,0.5090513758840944,9,0.31908035006454005,9,0.10663567503175092,9
bnci2014_004,cardinal_fbc_compactdyn_scale010,9,mean_seeds_within_subject_then_mean_subjects,0.7672222222222222,9,0.7672222222222222,9,0.5344444444444444,9,0.7453089521750309,9,0.5344444444444444,9,0.8634190582482993,9,0.4541015634072699,9,0.3035438353641439,9,0.09125808555987619,9
bnci2014_004,cardinal_fbc_compactdyn_scale010_extended,9,mean_seeds_within_subject_then_mean_subjects,0.7733829365079364,9,0.7733829365079364,9,0.546765873015873,9,0.7568375701535209,9,0.546765873015873,9,0.8632814625850341,9,0.4411866191796175,9,0.29365015277122075,9,0.08481222222603502,9
